Date,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Volume,Adjusted Price,SMA-20,EMA-20,CCI,ROC,Gain,Loss,RSI,Decision
2022-01-03,39.0,55.0,51.0,54.5,52.75,52.75,0.0,4702000.0,0.0,50.374969879518076,52.75,1333.3333333333335,-1.6934417352251374,0.0,0.0,42.17907227615966,1
2022-01-04,39.0,55.0,53.0,53.5,53.25,52.75,0.5,2160700.0,0.0,50.374969879518076,53.0125,1333.3333333333333,-1.6934417352251374,0.5,0.0,42.17907227615966,0
2022-01-05,39.0,55.0,53.0,53.25,53.0,53.25,-0.25,658900.0,0.0,50.374969879518076,53.007910074937556,1333.3333333333335,-1.6934417352251374,0.0,0.25,42.17907227615966,1
2022-01-06,39.0,55.0,53.0,53.25,53.0,53.0,0.0,243200.0,0.0,50.374969879518076,53.005626558603495,1333.3333333333335,-1.6934417352251374,0.0,0.0,42.17907227615966,1
2022-01-07,39.0,55.0,53.0,53.25,53.0,53.0,0.0,686300.0,0.0,50.374969879518076,53.00426554195828,1333.3333333333335,-1.6934417352251374,0.0,0.0,42.17907227615966,1
2022-01-10,39.0,55.0,51.25,53.0,52.75,53.0,-0.25,528700.0,0.0,50.374969879518076,52.95062712679467,1333.3333333333333,-1.6934417352251374,0.0,0.25,42.17907227615966,1
2022-01-11,39.0,55.0,51.5,53.25,52.0,52.75,-0.75,34700.0,0.0,50.374969879518076,52.77088706686012,1333.3333333333335,-1.6934417352251374,0.0,0.75,42.17907227615966,1
2022-01-12,39.0,55.0,50.0,51.25,50.25,52.0,-1.75,155000.0,0.0,50.374969879518076,52.33513907042519,1333.3333333333335,-1.6934417352251374,0.0,1.75,42.17907227615966,1
2022-01-13,39.0,55.0,49.2,50.75,49.55,50.25,-0.7,852300.0,0.0,50.374969879518076,51.88838914486291,1333.3333333333333,-1.6934417352251374,0.0,0.7,42.17907227615966,1
2022-01-14,39.0,55.0,49.0,50.0,49.5,49.55,-0.05,37100.0,0.0,50.374969879518076,51.528718434642435,1333.3333333333335,-1.6934417352251374,0.0,0.05,42.17907227615966,1
2022-01-17,39.0,55.0,49.15,50.0,49.5,49.5,0.0,427300.0,0.0,50.374969879518076,51.239234870097484,1333.3333333333335,-6.161137440758294,0.0,0.0,42.17907227615966,1
2022-01-18,39.0,55.0,49.5,51.0,50.0,49.5,0.5,1351300.0,0.0,50.374969879518076,51.07041619047743,1333.3333333333333,-6.103286384976526,0.5,0.0,42.17907227615966,0
2022-01-19,39.0,55.0,50.0,51.0,50.25,50.0,0.25,349700.0,0.0,50.374969879518076,50.963053221240315,1333.3333333333335,-5.188679245283019,0.25,0.0,42.17907227615966,0
2022-01-20,39.0,55.0,50.5,51.5,51.25,50.25,1.0,1546500.0,0.0,50.374969879518076,50.99931246377886,1333.3333333333333,-3.30188679245283,1.0,0.0,42.17907227615966,0
2022-01-21,39.0,55.0,51.25,51.75,51.5,51.25,0.25,698800.0,0.0,50.374969879518076,51.06067074571644,1333.3333333333333,-2.8301886792452833,0.25,0.0,42.17907227615966,0
2022-01-24,39.0,55.0,51.25,52.0,51.5,51.5,0.0,5687400.0,0.0,50.374969879518076,51.11307843798391,1333.3333333333335,-2.3696682464454977,0.0,0.0,42.17907227615966,1
2022-01-25,39.0,55.0,50.75,52.5,51.75,51.5,0.25,1223600.0,0.0,50.374969879518076,51.18727243922841,1333.3333333333333,-0.4807692307692308,0.25,0.0,42.17907227615966,0
2022-01-26,39.0,55.0,50.0,51.0,50.0,51.75,-1.75,602300.0,0.0,50.374969879518076,51.05184676378079,1333.3333333333333,-0.4975124378109453,0.0,1.75,42.17907227615966,1
2022-01-27,39.0,55.0,49.65,50.75,50.25,50.0,0.25,189300.0,0.0,50.374969879518076,50.9620745781244,1333.3333333333335,1.4127144298688252,0.25,0.0,42.17907227615966,0
2022-01-28,39.0,55.0,50.0,50.75,50.25,50.25,0.0,50100.0,0.0,51.265,50.883663921187285,1333.3333333333333,1.5151515151515151,0.0,0.0,42.17907227615966,1
2022-01-31,39.0,55.0,50.0,52.25,50.5,50.25,0.25,1404800.0,0.0,51.152499999999996,50.8420357948975,1333.3333333333335,2.0202020202020203,0.25,0.0,42.17907227615966,0
2022-02-01,39.0,55.0,51.0,53.0,52.75,50.5,2.25,4721700.0,0.0,51.1275,51.046343031660214,1333.3333333333335,5.5,2.25,0.0,42.17907227615966,0
2022-02-02,39.0,55.0,52.0,53.5,53.0,52.75,0.25,2262500.0,0.0,51.1275,51.25309451305945,1333.3333333333333,5.472636815920398,0.25,0.0,42.17907227615966,0
2022-02-03,39.0,55.0,52.25,53.25,53.0,53.0,0.0,1652000.0,0.0,51.1275,51.4360286689769,1333.3333333333333,3.414634146341464,0.0,0.0,42.17907227615966,1
2022-02-04,39.0,55.0,52.25,53.0,53.0,53.0,0.0,2081800.0,0.0,51.1275,51.59826797546548,1333.3333333333335,2.912621359223301,0.0,0.0,42.17907227615966,1
2022-02-07,39.0,55.0,52.0,53.0,53.0,53.0,0.0,1636800.0,0.0,51.14,51.742452123445204,1333.3333333333335,2.912621359223301,0.0,0.0,42.17907227615966,1
2022-02-08,39.0,55.0,52.0,53.0,52.75,53.0,-0.25,839500.0,0.0,51.177499999999995,51.845305842396115,1333.3333333333335,1.932367149758454,0.0,0.25,42.17907227615966,1
2022-02-09,39.0,55.0,52.0,53.75,52.5,52.75,-0.25,6720900.0,0.0,51.29,51.911684750856985,1333.3333333333335,5.0,0.0,0.25,42.17907227615966,1
2022-02-10,39.25,55.0,52.5,53.0,53.0,52.5,0.5,1886800.0,0.0,51.4625,52.02135356635097,1333.3333333333333,5.472636815920398,0.5,0.0,42.17907227615966,0
2022-02-11,39.0,55.0,52.75,54.0,53.25,53.0,0.25,285200.0,0.0,51.65,52.14448240703081,1333.3333333333333,5.970149253731343,0.25,0.0,42.17907227615966,0
2022-02-14,39.25,55.0,53.0,53.5,53.5,53.25,0.25,584000.0,0.0,51.85,52.27965290996329,1333.3333333333333,5.9405940594059405,0.25,0.0,42.17907227615966,0
2022-02-15,39.0,55.0,53.0,53.5,53.25,53.5,-0.25,1838000.0,0.0,52.0125,52.375983075644264,1333.3333333333333,0.9478672985781991,0.0,0.25,42.17907227615966,1
2022-02-16,39.0,55.0,52.5,53.5,53.25,53.25,0.0,1033400.0,0.0,52.1625,52.46240139777443,1333.3333333333335,0.4716981132075472,0.0,0.0,42.17907227615966,1
2022-02-17,39.25,55.0,52.5,53.5,53.0,53.25,-0.25,1429200.0,0.0,52.25,52.515363784262846,1333.3333333333335,0.0,0.0,0.25,42.17907227615966,1
2022-02-18,39.0,55.0,52.0,53.25,52.5,53.0,-0.5,997600.0,0.0,52.3,52.51385514256229,1333.3333333333335,-0.9433962264150944,0.0,0.5,42.17907227615966,1
2022-02-21,39.0,55.0,52.25,53.0,52.5,52.5,0.0,11400.0,0.0,52.35,52.51249865199677,1333.3333333333335,-0.9433962264150944,0.0,0.0,42.17907227615966,1
2022-02-22,39.0,55.0,51.0,52.75,52.0,52.5,-0.5,1534400.0,0.0,52.3625,52.46245583633813,1333.3333333333337,-1.4218009478672986,0.0,0.5,42.17907227615966,1
2022-02-23,39.0,55.0,51.5,53.0,52.0,52.0,0.0,810200.0,0.0,52.4625,52.4174078562348,1333.3333333333335,-0.9523809523809524,0.0,0.0,42.17907227615966,1
2022-02-24,39.0,55.0,51.0,52.0,51.5,52.0,-0.5,505900.0,0.0,52.525,52.328236547216704,1333.3333333333333,-2.8301886792452833,0.0,0.5,42.17907227615966,1
2022-02-25,39.0,55.0,51.5,52.0,51.75,51.5,0.25,51300.0,0.0,52.6,52.27214242425608,1333.3333333333335,-2.8169014084507045,0.25,0.0,42.17907227615966,0
2022-02-28,39.0,55.0,50.0,52.0,50.0,51.75,-1.75,573700.0,0.0,52.575,52.052113902531445,1333.3333333333333,-6.5420560747663545,0.0,1.75,42.17907227615966,1
2022-03-01,39.0,55.0,49.55,50.5,50.0,50.0,0.0,1472900.0,0.0,52.4375,51.85370970844872,1333.3333333333333,-6.103286384976526,0.0,0.0,42.17907227615966,1
2022-03-02,39.0,55.0,49.8,51.75,50.25,50.0,0.25,1027800.0,0.0,52.3,51.698882189795526,1333.3333333333333,-5.633802816901409,0.25,0.0,42.17907227615966,0
2022-03-03,39.0,55.0,50.25,53.0,51.0,50.25,0.75,1640800.0,0.0,52.2,51.63149771152797,1333.3333333333335,-3.7735849056603774,0.75,0.0,42.17907227615966,0
2022-03-04,39.0,55.0,50.75,52.0,51.75,51.0,0.75,311000.0,0.0,52.1375,51.642909947007084,1333.3333333333333,-1.4285714285714286,0.75,0.0,42.17907227615966,0
2022-03-07,39.0,55.0,49.75,52.0,50.75,51.75,-1.0,424400.0,0.0,52.025,51.55701076849109,1333.3333333333333,-3.3333333333333335,0.0,1.0,42.17907227615966,1
2022-03-08,39.0,55.0,49.6,51.5,50.5,50.75,-0.25,986600.0,0.0,51.9125,51.45542272204837,1333.3333333333335,-2.8846153846153846,0.0,0.25,42.17907227615966,1
2022-03-09,39.0,55.0,50.5,51.5,50.75,50.5,0.25,1417600.0,0.0,51.825,51.387684364879576,1333.3333333333335,-2.403846153846154,0.25,0.0,42.17907227615966,0
2022-03-10,39.0,55.0,51.0,52.0,51.0,50.75,0.25,2766000.0,0.0,51.725,51.350486175474856,1333.3333333333333,-0.9708737864077669,0.25,0.0,42.17907227615966,0
2022-03-11,39.0,55.0,51.0,52.0,51.25,51.0,0.25,102200.0,0.0,51.625,51.34085141535764,1333.3333333333335,-0.966183574879227,0.25,0.0,42.17907227615966,0
2022-03-14,39.0,55.0,50.5,51.5,51.25,51.25,0.0,367000.0,0.0,51.5125,51.33214605063188,1333.3333333333333,2.5,0.0,0.0,42.17907227615966,1
2022-03-15,39.0,55.0,50.75,52.0,51.25,51.25,0.0,620400.0,0.0,51.4125,51.32427940832678,1333.3333333333333,2.5,0.0,0.0,42.17907227615966,1
2022-03-16,39.0,55.0,51.0,53.5,52.75,51.25,1.5,139100.0,0.0,51.3875,51.460740473726304,1333.3333333333335,4.975124378109453,1.5,0.0,42.17907227615966,0
2022-03-17,39.0,55.0,51.5,52.0,51.75,52.75,-1.0,140900.0,0.0,51.325,51.48841342514324,1333.3333333333335,1.4705882352941175,0.0,1.0,42.17907227615966,1
2022-03-18,39.0,55.0,51.25,52.0,52.0,51.75,0.25,282500.0,0.0,51.3,51.53733497163576,1333.3333333333335,0.4830917874396135,0.25,0.0,42.17907227615966,0
2022-03-21,39.0,55.0,49.75,52.25,51.25,52.0,-0.75,250500.0,0.0,51.2375,51.509868643084914,1333.3333333333333,0.9852216748768473,0.0,0.75,42.17907227615966,1
2022-03-22,39.0,55.0,51.25,52.0,51.75,51.25,0.5,1713200.0,0.0,51.225,51.532814708496524,1333.3333333333333,2.4752475247524752,0.5,0.0,42.17907227615966,0
2022-03-23,39.0,55.0,50.0,52.0,51.0,51.75,-0.75,1930700.0,0.0,51.175,51.48191709935711,1333.3333333333333,0.49261083743842365,0.0,0.75,42.17907227615966,1
2022-03-24,39.0,55.0,51.0,51.75,51.5,51.0,0.5,171200.0,0.0,51.175,51.483643987849405,1333.3333333333335,0.9803921568627451,0.5,0.0,42.17907227615966,0
2022-03-25,39.0,55.0,51.25,52.0,51.5,51.5,0.0,1297400.0,0.0,51.1625,51.48520555469522,1333.3333333333335,0.4878048780487805,0.0,0.0,42.17907227615966,1
2022-03-28,39.0,55.0,50.0,51.75,51.0,51.5,-0.5,1196900.0,0.0,51.2125,51.43889215451688,1333.3333333333335,-0.4878048780487805,0.0,0.5,42.17907227615966,1
2022-03-29,39.0,55.0,51.0,52.0,51.0,51.0,0.0,111000.0,0.0,51.2625,51.39700834010177,1333.3333333333333,-0.4878048780487805,0.0,0.0,42.17907227615966,1
2022-03-30,39.0,55.0,49.25,51.0,50.75,51.0,-0.25,74500.0,0.0,51.2875,51.335275732775074,1333.3333333333333,-3.7914691943127963,0.0,0.25,42.17907227615966,1
2022-03-31,39.0,55.0,50.0,51.0,50.5,50.75,-0.25,258200.0,0.0,51.2625,51.255593972465356,1333.3333333333335,-2.4154589371980677,0.0,0.25,42.17907227615966,1
2022-04-01,40.0,55.0,49.0,51.0,49.15,50.5,-1.35,133600.0,0.0,51.13250000000001,51.054760906413016,1333.3333333333335,-5.4807692307692335,0.0,1.35,42.17907227615966,1
2022-04-04,40.0,55.0,49.0,51.0,49.15,49.15,0.0,69100.0,0.0,51.0525,50.873109350252996,1333.3333333333335,-4.097560975609759,0.0,0.0,42.17907227615966,1
2022-04-05,40.0,55.0,49.2,50.0,49.5,49.15,0.35,1403800.0,0.0,51.002500000000005,50.742176763385075,1333.3333333333335,-4.3478260869565215,0.35,0.0,42.17907227615966,0
2022-04-06,40.0,55.0,49.2,50.0,49.8,49.5,0.3,1149300.0,0.0,50.955,50.65234615816708,1333.3333333333335,-2.3529411764705936,0.3,0.0,42.17907227615966,0
2022-04-07,40.0,55.0,49.0,49.8,49.3,49.8,-0.5,845200.0,0.0,50.870000000000005,50.52342210423487,1333.3333333333335,-4.27184466019418,0.0,0.5,42.17907227615966,1
2022-04-08,40.0,55.0,49.2,49.75,49.3,49.3,0.0,1141700.0,0.0,50.7725,50.406799987220346,1333.3333333333335,-4.27184466019418,0.0,0.0,42.17907227615966,1
2022-04-11,40.0,55.0,49.3,50.0,49.75,49.3,0.45,436600.0,0.0,50.697500000000005,50.3441962580174,1333.3333333333333,-2.450980392156863,0.45,0.0,42.17907227615966,0
2022-04-12,40.0,55.0,49.5,51.0,49.85,49.75,0.1,729900.0,0.0,50.627500000000005,50.29709499326847,1333.3333333333333,-2.254901960784311,0.1,0.0,42.17907227615966,0
2022-04-13,40.0,55.0,49.6,51.0,49.75,49.85,-0.1,516900.0,0.0,50.477500000000006,50.24495570001846,1333.3333333333333,-1.9704433497536946,0.0,0.1,42.17907227615966,1
2022-04-14,40.5,55.0,49.85,50.5,50.0,49.75,0.25,427600.0,0.0,50.39,50.221612404928095,1333.3333333333333,-0.9900990099009901,0.25,0.0,42.17907227615966,0
2022-04-19,40.5,55.0,49.3,50.0,49.65,50.0,-0.35,719300.0,0.0,50.2725,50.167143190178884,1333.3333333333335,1.017293997965412,0.0,0.35,42.17907227615966,1
2022-04-20,40.25,55.0,49.4,49.9,49.65,49.65,0.0,1369400.0,0.0,50.1925,50.11786695333951,1333.3333333333335,1.017293997965412,0.0,0.0,42.17907227615966,1
2022-04-21,40.25,55.0,49.5,50.0,50.0,49.65,0.35,1983700.0,0.0,50.105000000000004,50.10663647632265,1333.3333333333333,1.0101010101010102,0.35,0.0,42.17907227615966,0
2022-04-22,39.0,55.0,49.5,50.0,49.75,50.0,-0.25,2278700.0,0.0,50.042500000000004,50.072657265491706,1333.3333333333333,-0.10040160642569709,0.0,0.25,42.17907227615966,1
2022-04-25,40.25,55.0,49.5,50.0,49.95,49.75,0.2,2012200.0,0.0,49.965,50.06097131714042,1333.3333333333335,1.3184584178499101,0.2,0.0,42.17907227615966,0
2022-04-26,40.25,55.0,48.5,49.9,49.45,49.95,-0.5,3646100.0,0.0,49.8625,50.00276417626724,1333.3333333333333,0.30425963488844965,0.0,0.5,42.17907227615966,1
2022-04-27,39.0,55.0,47.0,49.0,47.8,49.45,-1.65,104500.0,0.0,49.7025,49.792913843225584,1333.3333333333335,-3.9195979899497546,0.0,1.65,42.17907227615966,1
2022-04-28,39.25,55.0,47.0,48.0,47.9,47.8,0.1,100200.0,0.0,49.5475,49.61258714476391,1333.3333333333335,-3.911735205616856,0.1,0.0,42.17907227615966,0
2022-05-04,39.5,55.0,45.05,48.5,47.95,47.9,0.05,2170800.0,0.0,49.407500000000006,49.45420642336373,1333.3333333333333,-3.618090452261301,0.05,0.0,42.17907227615966,0
2022-05-05,40.0,55.0,47.0,48.5,47.5,47.95,-0.45,66700.0,0.0,49.25750000000001,49.26804995783183,1333.3333333333333,-5.0,0.0,0.45,42.17907227615966,1
2022-05-06,40.0,55.0,46.0,48.5,47.15,47.5,-0.35,45500.0,0.0,49.1575,49.066290152679905,1333.3333333333333,-5.0352467270896275,0.0,0.35,42.17907227615966,1
2022-05-09,40.0,55.0,45.9,47.0,46.05,47.15,-1.1,839900.0,0.0,49.0025,48.77897190520451,1333.3333333333333,-7.250755287009067,0.0,1.1,42.17907227615966,1
2022-05-10,40.0,55.0,45.0,46.0,45.0,46.05,-1.05,3768300.0,0.0,48.777499999999996,48.419010288315704,1333.3333333333337,-10.0,0.0,1.05,42.17907227615966,1
2022-05-11,40.0,55.0,44.5,45.0,44.95,45.0,-0.05,958300.0,0.0,48.535000000000004,48.088578913617674,1333.3333333333333,-9.648241206030145,0.0,0.05,42.17907227615966,1
2022-05-12,40.0,55.0,44.5,45.0,44.6,44.95,-0.35,369200.0,0.0,48.3,47.75628831742616,1333.3333333333335,-10.710710710710714,0.0,0.35,42.17907227615966,1
2022-05-13,40.5,55.0,44.65,46.0,45.5,44.6,0.9,2371500.0,0.0,48.11,47.5413773921198,1333.3333333333335,-7.987866531850359,0.9,0.0,42.17907227615966,0
2022-05-16,40.05,55.0,45.05,46.0,45.6,45.5,0.1,247700.0,0.0,47.902499999999996,47.35646381485785,1333.3333333333333,-4.602510460251037,0.1,0.0,42.17907227615966,0
2022-05-17,40.2,55.0,45.55,46.5,46.25,45.6,0.65,90900.0,0.0,47.7225,47.25107574177997,1333.3333333333333,-3.444676409185801,0.65,0.0,42.17907227615966,0
2022-05-18,40.5,55.0,45.75,47.0,45.85,46.25,-0.4,366400.0,0.0,47.527499999999996,47.11762785080609,1333.3333333333333,-4.379562043795623,0.0,0.4,42.17907227615966,1
2022-05-19,40.5,55.0,45.0,47.0,45.6,45.85,-0.25,90600.0,0.0,47.3075,46.97308000087072,1333.3333333333335,-3.9999999999999973,0.0,0.25,42.17907227615966,1
2022-05-20,40.25,55.0,44.0,45.85,44.7,45.6,-0.9,1858000.0,0.0,47.06,46.756580113828896,1333.3333333333337,-5.1961823966065666,0.0,0.9,42.17907227615966,1
2022-05-23,40.25,55.0,40.25,44.5,43.05,44.7,-1.65,1477600.0,0.0,46.730000000000004,46.40354876437818,1333.3333333333335,-6.514657980456026,0.0,1.65,42.17907227615966,1
2022-05-24,40.25,55.0,41.9,45.0,42.0,43.05,-1.05,978800.0,0.0,46.33,45.984137672031096,1333.3333333333333,-6.666666666666667,0.0,1.05,42.17907227615966,1
2022-05-25,40.25,55.0,41.75,43.95,42.0,42.0,0.0,4957000.0,0.0,45.9425,45.60467511857276,1333.3333333333335,-6.562847608453843,0.0,0.0,42.17907227615966,1
2022-05-26,40.25,55.0,42.0,44.0,42.9,42.0,0.9,335800.0,0.0,45.589999999999996,45.34707419334938,1333.3333333333333,-3.8116591928251182,0.9,0.0,42.17907227615966,0
2022-05-27,40.25,55.0,43.5,45.0,44.0,42.9,1.1,67000.0,0.0,45.3175,45.21877563669512,1333.3333333333333,-3.296703296703297,1.1,0.0,42.17907227615966,0
2022-05-30,40.25,55.0,44.9,46.0,45.2,44.0,1.2,117900.0,0.0,45.1875,45.21698740797636,1333.3333333333335,-0.8771929824561372,1.2,0.0,42.17907227615966,0
2022-05-31,40.25,55.0,45.0,46.0,45.5,45.2,0.3,3292300.0,0.0,45.0675,45.243941981586346,1333.3333333333335,-1.6216216216216217,0.3,0.0,42.17907227615966,0
